@relation activity_recognition_labeled-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.Remove-R1-2-weka.filters.unsupervised.attribute.Remove-R43-weka.filters.unsupervised.attribute.Remove-R41-42-weka.filters.unsupervised.attribute.Remove-R37-40-weka.filters.unsupervised.attribute.Remove-R33-36

@attribute X0 numeric
@attribute X1 numeric
@attribute X2 numeric
@attribute X3 numeric
@attribute X4 numeric
@attribute X5 numeric
@attribute X6 numeric
@attribute X7 numeric
@attribute X8 numeric
@attribute X9 numeric
@attribute Y0 numeric
@attribute Y1 numeric
@attribute Y2 numeric
@attribute Y3 numeric
@attribute Y4 numeric
@attribute Y5 numeric
@attribute Y6 numeric
@attribute Y7 numeric
@attribute Y8 numeric
@attribute Y9 numeric
@attribute Z0 numeric
@attribute Z1 numeric
@attribute Z2 numeric
@attribute Z3 numeric
@attribute Z4 numeric
@attribute Z5 numeric
@attribute Z6 numeric
@attribute Z7 numeric
@attribute Z8 numeric
@attribute Z9 numeric
@attribute XAVG numeric
@attribute YAVG numeric
@attribute class {Walking,Jogging,Upstairs,Downstairs,Sitting,Standing}

@data
0.03,0.08,0.07,0.07,0.09,0.13,0.14,0.16,0.1,0.12,0.12,0.11,0.11,0.14,0.08,0.11,0.09,0.09,0.08,0.08,0.11,0.08,0.1,0.08,0.07,0.08,0.09,0.11,0.07,0.19,0,7.93,Downstairs
0.1,0.1,0.14,0.11,0.1,0.09,0.09,0.09,0.08,0.12,0.09,0.11,0.1,0.07,0.13,0.09,0.07,0.12,0.12,0.1,0.07,0.14,0.12,0.11,0.13,0.09,0.11,0.07,0.12,0.05,0,8.99,Downstairs
0.17,0.11,0.08,0.12,0.11,0.11,0.06,0.07,0.12,0.06,0.08,0.08,0.08,0.11,0.09,0.1,0.13,0.09,0.11,0.13,0.11,0.09,0.08,0.12,0.09,0.14,0.1,0.12,0.11,0.07,0,9.16,Downstairs
0,0.01,0.01,0.01,0.01,0,0,0,0.01,0.01,0,0,0.01,0.01,0.01,0,0.01,0.01,0,0,0,0.01,0.01,0.01,0,0.01,0.01,0,0.01,0,0,0.38,Downstairs
0.03,0.11,0.07,0.12,0.08,0.09,0.11,0.12,0.13,0.15,0.08,0.1,0.1,0.1,0.11,0.12,0.09,0.1,0.11,0.11,0.09,0.1,0.13,0.11,0.11,0.11,0.1,0.11,0.06,0.11,0,8.83,Upstairs
0.15,0.11,0.08,0.1,0.12,0.13,0.08,0.1,0.07,0.08,0.1,0.1,0.1,0.12,0.08,0.09,0.12,0.11,0.11,0.09,0.13,0.09,0.11,0.11,0.06,0.1,0.09,0.08,0.13,0.11,0,8.57,Upstairs
0.09,0.06,0.11,0.06,0.07,0.06,0.06,0.06,0.06,0.05,0.08,0.07,0.07,0.06,0.07,0.07,0.08,0.06,0.04,0.09,0.06,0.06,0.06,0.06,0.09,0.05,0.09,0.08,0.08,0.06,0,5.7,Upstairs
0.05,0.08,0.08,0.09,0.09,0.1,0.09,0.14,0.14,0.14,0.11,0.07,0.11,0.11,0.09,0.13,0.11,0.1,0.09,0.11,0.08,0.1,0.11,0.09,0.1,0.09,0.14,0.1,0.12,0.09,0,9.18,Downstairs
0.12,0.11,0.09,0.11,0.12,0.11,0.1,0.1,0.05,0.12,0.09,0.12,0.09,0.11,0.11,0.08,0.1,0.09,0.11,0.12,0.1,0.1,0.09,0.11,0.1,0.09,0.11,0.1,0.08,0.13,0,9.17,Downstairs
0.1,0.07,0.11,0.06,0.04,0.08,0.05,0.05,0.04,0.04,0.07,0.08,0.07,0.06,0.07,0.06,0.05,0.08,0.06,0.05,0.08,0.07,0.05,0.06,0.09,0.06,0.04,0.06,0.07,0.05,0,5.33,Downstairs
0.01,0.06,0.09,0.08,0.07,0.1,0.11,0.18,0.14,0.16,0.08,0.1,0.1,0.11,0.08,0.08,0.1,0.13,0.12,0.11,0.08,0.11,0.12,0.14,0.09,0.13,0.11,0.08,0.07,0.1,0,9.02,Upstairs
0.09,0.08,0.06,0.1,0.13,0.11,0.13,0.1,0.12,0.11,0.11,0.1,0.09,0.09,0.12,0.11,0.08,0.11,0.08,0.12,0.11,0.11,0.09,0.08,0.13,0.09,0.1,0.09,0.12,0.1,0,8.88,Upstairs
0.18,0.14,0.12,0.1,0.07,0.07,0.03,0.01,0.02,0.01,0.08,0.08,0.08,0.09,0.07,0.08,0.09,0.05,0.07,0.05,0.08,0.05,0.04,0.07,0.06,0.07,0.1,0.1,0.1,0.08,0,6.15,Upstairs
0.02,0.07,0.08,0.09,0.09,0.11,0.1,0.14,0.15,0.15,0.1,0.12,0.1,0.1,0.1,0.07,0.12,0.1,0.12,0.09,0.06,0.09,0.14,0.11,0.11,0.09,0.12,0.1,0.1,0.1,0,9,Downstairs
0.15,0.12,0.1,0.07,0.13,0.09,0.1,0.1,0.07,0.09,0.1,0.11,0.08,0.11,0.11,0.13,0.07,0.08,0.11,0.11,0.12,0.09,0.08,0.09,0.12,0.1,0.1,0.1,0.1,0.12,0,9.15,Downstairs
0.1,0.1,0.09,0.1,0.06,0.09,0.07,0.04,0.06,0.04,0.07,0.05,0.1,0.07,0.06,0.08,0.09,0.09,0.05,0.08,0.1,0.1,0.05,0.05,0.08,0.08,0.07,0.07,0.08,0.06,0,6.74,Downstairs
0.05,0.08,0.06,0.05,0.11,0.11,0.14,0.12,0.17,0.11,0.09,0.09,0.11,0.09,0.14,0.12,0.07,0.1,0.07,0.15,0.12,0.09,0.13,0.09,0.09,0.1,0.1,0.12,0.08,0.12,0,9.08,Upstairs
0.11,0.07,0.09,0.11,0.1,0.09,0.1,0.1,0.09,0.15,0.12,0.09,0.13,0.11,0.06,0.09,0.1,0.11,0.14,0.08,0.11,0.12,0.08,0.11,0.11,0.07,0.11,0.08,0.1,0.11,0,8.65,Upstairs
0.11,0.12,0.12,0.09,0.07,0.04,0.05,0.04,0.02,0.01,0.05,0.08,0.04,0.07,0.06,0.07,0.1,0.06,0.06,0.04,0.03,0.04,0.08,0.06,0.07,0.07,0.08,0.07,0.11,0.04,0,5.7,Upstairs
0.06,0.09,0.07,0.12,0.08,0.11,0.12,0.11,0.11,0.12,0.11,0.09,0.08,0.1,0.14,0.09,0.11,0.09,0.12,0.09,0.08,0.08,0.09,0.11,0.09,0.1,0.11,0.13,0.12,0.09,0,8.93,Downstairs
0.09,0.13,0.13,0.08,0.12,0.1,0.1,0.09,0.11,0.09,0.09,0.14,0.1,0.1,0.07,0.11,0.11,0.09,0.09,0.11,0.12,0.12,0.08,0.1,0.13,0.1,0.09,0.09,0.08,0.1,0,8.67,Downstairs
0.09,0.05,0.05,0.06,0.05,0.07,0.04,0.06,0.04,0.05,0.06,0.03,0.07,0.07,0.04,0.06,0.04,0.08,0.05,0.06,0.04,0.07,0.07,0.06,0.03,0.05,0.06,0.04,0.05,0.07,0,5,Downstairs
0.08,0.1,0.11,0.1,0.16,0.1,0.1,0.12,0.07,0.08,0.11,0.1,0.11,0.1,0.14,0.07,0.09,0.11,0.1,0.05,0.13,0.08,0.07,0.11,0.12,0.11,0.1,0.07,0.11,0.11,0,8.94,Jogging
0.12,0.09,0.11,0.08,0.08,0.09,0.11,0.1,0.11,0.11,0.09,0.09,0.1,0.07,0.12,0.11,0.1,0.09,0.13,0.06,0.07,0.12,0.14,0.1,0.08,0.09,0.12,0.12,0.1,0.07,0,10.02,Jogging
0.07,0.1,0.06,0.1,0.05,0.09,0.07,0.06,0.1,0.09,0.08,0.09,0.07,0.11,0.03,0.1,0.09,0.08,0.05,0.06,0.09,0.08,0.07,0.07,0.08,0.08,0.07,0.09,0.08,0.1,0,6.97,Jogging
0.08,0.08,0.09,0.09,0.1,0.13,0.08,0.15,0.12,0.08,0.09,0.14,0.09,0.08,0.12,0.09,0.09,0.09,0.1,0.12,0.1,0.06,0.13,0.1,0.13,0.09,0.09,0.11,0.11,0.08,0,9.59,Walking
0.11,0.09,0.13,0.1,0.1,0.07,0.09,0.1,0.11,0.11,0.12,0.06,0.07,0.13,0.11,0.1,0.12,0.13,0.09,0.08,0.09,0.13,0.1,0.13,0.09,0.12,0.08,0.08,0.09,0.12,0,9.64,Walking
0.1,0.11,0.08,0.1,0.1,0.1,0.1,0.05,0.06,0.11,0.08,0.09,0.13,0.08,0.07,0.09,0.09,0.08,0.1,0.1,0.08,0.13,0.05,0.06,0.07,0.08,0.12,0.1,0.1,0.09,0,8.49,Walking
0.06,0.08,0.12,0.15,0.2,0.1,0.08,0.11,0.06,0.06,0.08,0.09,0.14,0.1,0.1,0.13,0.09,0.09,0.1,0.03,0.13,0.06,0.09,0.1,0.08,0.11,0.14,0.12,0.08,0.11,0,9.7,Jogging
0.12,0.06,0.12,0.11,0.06,0.11,0.1,0.16,0.1,0.08,0.07,0.13,0.1,0.1,0.1,0.1,0.08,0.08,0.12,0.04,0.1,0.09,0.09,0.11,0.09,0.13,0.14,0.11,0.06,0.1,0,10.48,Jogging
0.13,0.1,0.08,0.08,0.09,0.11,0.07,0.12,0.16,0.07,0.1,0.12,0.09,0.13,0.07,0.08,0.1,0.08,0.13,0.03,0.1,0.11,0.1,0.1,0.12,0.13,0.09,0.1,0.08,0.1,0,10.04,Jogging
0.16,0.12,0.06,0.05,0.07,0.13,0.11,0.1,0.11,0.1,0.1,0.12,0.12,0.08,0.09,0.08,0.13,0.14,0.08,0.02,0.15,0.1,0.14,0.06,0.09,0.1,0.09,0.07,0.11,0.12,0,9.41,Jogging
0.09,0.12,0.11,0.12,0.08,0.1,0.09,0.1,0.08,0.13,0.09,0.11,0.11,0.1,0.08,0.12,0.09,0.11,0.12,0.02,0.11,0.11,0.08,0.07,0.11,0.09,0.09,0.16,0.1,0.11,0,10.18,Jogging
0.09,0.1,0.12,0.11,0.1,0.1,0.1,0.12,0.09,0.1,0.13,0.1,0.1,0.12,0.11,0.09,0.07,0.09,0.11,0.03,0.06,0.14,0.08,0.11,0.1,0.12,0.06,0.13,0.12,0.1,0,9.47,Jogging
0.09,0.12,0.1,0.09,0.09,0.07,0.12,0.07,0.12,0.15,0.09,0.1,0.09,0.08,0.09,0.11,0.12,0.15,0.09,0.01,0.11,0.09,0.12,0.12,0.09,0.08,0.07,0.11,0.15,0.08,0,10.45,Jogging
0.1,0.12,0.11,0.09,0.06,0.1,0.13,0.11,0.11,0.11,0.15,0.1,0.11,0.08,0.08,0.13,0.12,0.08,0.07,0.01,0.07,0.1,0.13,0.08,0.12,0.09,0.11,0.09,0.11,0.12,0,9.04,Jogging
0.08,0.09,0.08,0.11,0.19,0.08,0.12,0.06,0.08,0.11,0.11,0.05,0.05,0.11,0.17,0.11,0.11,0.1,0.1,0.02,0.08,0.11,0.11,0.16,0.13,0.06,0.1,0.06,0.11,0.07,0,9.81,Jogging
0.15,0.24,0.1,0.08,0.11,0.09,0.08,0.03,0.08,0.06,0.1,0.07,0.07,0.09,0.07,0.26,0.08,0.09,0.1,0.1,0.07,0.11,0.06,0.08,0.11,0.15,0.17,0.07,0.12,0.08,0,9.92,Walking
0.08,0.05,0.1,0.1,0.13,0.14,0.1,0.11,0.1,0.11,0.12,0.07,0.11,0.13,0.07,0.07,0.13,0.12,0.13,0.07,0.08,0.07,0.09,0.12,0.1,0.13,0.09,0.14,0.1,0.1,0,9.71,Walking
0.1,0.09,0.11,0.08,0.1,0.14,0.08,0.11,0.13,0.09,0.12,0.11,0.12,0.07,0.12,0.07,0.07,0.12,0.12,0.11,0.12,0.09,0.11,0.1,0.11,0.1,0.1,0.1,0.08,0.11,0,9.69,Walking
0.12,0.11,0.08,0.08,0.11,0.1,0.15,0.09,0.07,0.12,0.12,0.12,0.1,0.11,0.07,0.11,0.1,0.09,0.1,0.1,0.11,0.13,0.08,0.06,0.11,0.1,0.12,0.11,0.1,0.1,0,9.63,Walking
0.13,0.12,0.05,0.1,0.09,0.09,0.12,0.11,0.11,0.09,0.12,0.07,0.14,0.11,0.08,0.07,0.12,0.09,0.12,0.11,0.12,0.13,0.09,0.11,0.13,0.07,0.09,0.09,0.1,0.11,0,9.75,Walking
0.13,0.09,0.1,0.08,0.11,0.08,0.11,0.1,0.1,0.11,0.1,0.1,0.08,0.14,0.08,0.13,0.09,0.12,0.09,0.09,0.1,0.1,0.11,0.12,0.1,0.1,0.07,0.1,0.11,0.11,0,9.67,Walking
0.14,0.08,0.08,0.14,0.1,0.08,0.09,0.08,0.12,0.11,0.1,0.12,0.09,0.1,0.11,0.07,0.11,0.1,0.11,0.11,0.11,0.13,0.07,0.14,0.07,0.08,0.09,0.13,0.09,0.11,0,9.7,Walking
0.12,0.1,0.12,0.09,0.09,0.09,0.1,0.12,0.1,0.1,0.08,0.12,0.12,0.07,0.12,0.11,0.09,0.12,0.08,0.12,0.11,0.1,0.12,0.13,0.12,0.09,0.06,0.11,0.09,0.1,0,9.76,Walking
0.09,0.09,0.11,0.13,0.08,0.1,0.11,0.1,0.13,0.09,0.08,0.13,0.1,0.11,0.09,0.1,0.12,0.08,0.08,0.13,0.1,0.11,0.09,0.11,0.11,0.1,0.09,0.11,0.11,0.09,0,9.79,Walking
0.11,0.09,0.1,0.12,0.1,0.07,0.1,0.08,0.12,0.12,0.11,0.09,0.08,0.11,0.11,0.09,0.14,0.1,0.09,0.1,0.08,0.11,0.13,0.13,0.09,0.1,0.08,0.11,0.09,0.11,0,9.7,Walking
0.06,0.09,0.12,0.09,0.14,0.12,0.12,0.12,0.05,0.11,0.09,0.1,0.1,0.12,0.11,0.07,0.13,0.1,0.13,0.08,0.1,0.07,0.13,0.08,0.1,0.13,0.08,0.13,0.11,0.1,0,9.74,Walking
0.05,0.09,0.13,0.09,0.1,0.09,0.13,0.11,0.13,0.1,0.09,0.13,0.11,0.13,0.09,0.11,0.06,0.09,0.13,0.08,0.1,0.12,0.08,0.09,0.07,0.15,0.09,0.12,0.1,0.11,0,9.58,Walking
0.06,0.1,0.08,0.12,0.11,0.14,0.09,0.09,0.11,0.12,0.11,0.09,0.09,0.12,0.12,0.06,0.11,0.1,0.08,0.13,0.1,0.09,0.12,0.1,0.09,0.14,0.09,0.09,0.1,0.1,0,9.76,Walking
0.07,0.12,0.1,0.11,0.1,0.07,0.07,0.15,0.11,0.11,0.1,0.11,0.12,0.07,0.12,0.1,0.07,0.13,0.08,0.13,0.12,0.13,0.07,0.14,0.07,0.13,0.07,0.09,0.08,0.12,0,9.76,Walking
0.06,0.1,0.1,0.08,0.09,0.11,0.1,0.09,0.1,0.08,0.07,0.09,0.1,0.06,0.14,0.1,0.1,0.09,0.08,0.08,0.07,0.07,0.08,0.05,0.08,0.09,0.09,0.15,0.15,0.07,0,8.6,Walking
0.07,0.17,0.28,0.2,0.08,0.04,0.08,0.05,0.04,0.02,0.05,0.06,0.09,0.1,0.24,0.08,0.09,0.1,0.11,0.04,0.06,0.09,0.18,0.17,0.12,0.07,0.07,0.12,0.08,0.06,0,9.39,Jogging
0.11,0.07,0.12,0.11,0.1,0.14,0.11,0.11,0.08,0.07,0.1,0.12,0.11,0.09,0.08,0.08,0.09,0.09,0.13,0.08,0.11,0.12,0.11,0.11,0.09,0.12,0.07,0.08,0.11,0.11,0,8.72,Jogging
0.11,0.11,0.11,0.13,0.08,0.05,0.11,0.13,0.07,0.11,0.11,0.12,0.08,0.12,0.03,0.1,0.13,0.08,0.12,0.07,0.09,0.14,0.12,0.11,0.11,0.1,0.08,0.07,0.11,0.1,0,8.76,Jogging
0.14,0.09,0.14,0.09,0.06,0.09,0.06,0.12,0.09,0.14,0.1,0.13,0.13,0.09,0.06,0.08,0.09,0.09,0.14,0.04,0.14,0.14,0.11,0.06,0.08,0.08,0.08,0.11,0.13,0.08,0,8.23,Jogging
0.09,0.05,0.1,0.14,0.08,0.1,0.1,0.13,0.07,0.15,0.1,0.07,0.09,0.13,0.11,0.12,0.1,0.08,0.12,0.04,0.15,0.12,0.06,0.08,0.07,0.09,0.15,0.12,0.08,0.11,0,8.84,Jogging
0.06,0.17,0.08,0.1,0.12,0.12,0.07,0.11,0.1,0.1,0.12,0.14,0.06,0.1,0.09,0.13,0.08,0.1,0.1,0.05,0.1,0.1,0.1,0.11,0.09,0.06,0.12,0.12,0.09,0.11,0,8.17,Jogging
0.07,0.14,0.11,0.13,0.08,0.09,0.11,0.09,0.09,0.11,0.14,0.09,0.09,0.07,0.11,0.09,0.09,0.09,0.14,0.06,0.1,0.08,0.11,0.1,0.1,0.09,0.12,0.08,0.12,0.11,0,8.41,Jogging
0.12,0.13,0.09,0.1,0.07,0.07,0.16,0.11,0.1,0.09,0.12,0.14,0.09,0.12,0.1,0.08,0.11,0.1,0.06,0.05,0.17,0.05,0.1,0.09,0.1,0.11,0.11,0.12,0.1,0.08,0,7.59,Jogging
0.12,0.09,0.09,0.08,0.11,0.1,0.1,0.1,0.13,0.1,0.1,0.12,0.13,0.1,0.11,0.08,0.07,0.1,0.09,0.05,0.1,0.08,0.08,0.09,0.12,0.1,0.13,0.14,0.11,0.09,0,8.05,Jogging
0.09,0.11,0.07,0.08,0.11,0.11,0.11,0.09,0.12,0.12,0.1,0.1,0.12,0.1,0.06,0.14,0.11,0.1,0.07,0.04,0.09,0.1,0.11,0.11,0.11,0.1,0.09,0.1,0.08,0.15,0,8.56,Jogging
0.1,0.09,0.05,0.12,0.12,0.09,0.09,0.09,0.14,0.13,0.11,0.07,0.11,0.11,0.08,0.11,0.13,0.13,0.11,0.03,0.07,0.1,0.09,0.09,0.1,0.12,0.12,0.12,0.1,0.1,0,8.73,Jogging
0.11,0.08,0.06,0.05,0.1,0.14,0.13,0.11,0.11,0.14,0.08,0.11,0.09,0.09,0.09,0.12,0.11,0.12,0.12,0.05,0.09,0.09,0.11,0.12,0.07,0.12,0.15,0.1,0.09,0.09,0,8.97,Jogging
0.13,0.08,0.04,0.04,0.13,0.13,0.1,0.09,0.15,0.13,0.12,0.1,0.11,0.08,0.1,0.11,0.12,0.1,0.07,0.04,0.07,0.09,0.12,0.1,0.11,0.12,0.08,0.07,0.12,0.14,0,8.31,Jogging
0.11,0.08,0.07,0.04,0.13,0.15,0.11,0.14,0.13,0.07,0.1,0.08,0.13,0.1,0.12,0.11,0.1,0.12,0.08,0.04,0.11,0.1,0.05,0.06,0.15,0.1,0.12,0.09,0.16,0.09,0,8.41,Jogging
0.01,0.04,0.07,0.07,0.07,0.04,0.05,0.04,0.03,0.03,0.03,0.02,0.05,0.07,0.08,0.06,0.06,0.06,0.02,0.01,0.03,0.04,0.06,0.05,0.06,0.04,0.06,0.03,0.02,0.06,0,3.75,Jogging
0.01,0.08,0.08,0.05,0.11,0.14,0.15,0.12,0.16,0,0.09,0.14,0.09,0.14,0.14,0.09,0.08,0.08,0.09,0,0.17,0.12,0.08,0.13,0.11,0.13,0.09,0.05,0.08,0,0,8.81,Walking
0.02,0.07,0.09,0.03,0.1,0.17,0.09,0.07,0.17,0,0.13,0.15,0.1,0.11,0.16,0.07,0.06,0.07,0.1,0,0.14,0.1,0.15,0.13,0.11,0.06,0.06,0.1,0.07,0,0,8.45,Walking
0.01,0.08,0.07,0.04,0.1,0.12,0.21,0.11,0.11,0,0.11,0.14,0.11,0.15,0.12,0.09,0.12,0.03,0.09,0,0.16,0.16,0.12,0.12,0.08,0.07,0.08,0.07,0.08,0,0,8.43,Walking
0.03,0.09,0.08,0.03,0.06,0.12,0.17,0.12,0.11,0,0.07,0.21,0.12,0.15,0.13,0.06,0.08,0.04,0.12,0,0.16,0.11,0.16,0.11,0.08,0.12,0.06,0.06,0.08,0,0,8.48,Walking
0.03,0.1,0.06,0.05,0.08,0.08,0.18,0.13,0.13,0,0.08,0.17,0.1,0.18,0.17,0.05,0.1,0.04,0.02,0,0.18,0.14,0.14,0.11,0.07,0.1,0.08,0.06,0.09,0,0,8.65,Walking
0.01,0.11,0.04,0.07,0.07,0.1,0.14,0.13,0.2,0,0.11,0.22,0.11,0.14,0.11,0.07,0.07,0.05,0.05,0,0.15,0.11,0.12,0.06,0.1,0.16,0.08,0.08,0.09,0,0,8.16,Walking
0.01,0.08,0.03,0.05,0.08,0.17,0.11,0.15,0.12,0,0.14,0.11,0.12,0.16,0.15,0.08,0.09,0.04,0.09,0,0.14,0.19,0.09,0.1,0.08,0.11,0.07,0.1,0.07,0,0,8.29,Walking
0,0.09,0.08,0.03,0.01,0.11,0.17,0.18,0.14,0,0.13,0.18,0.14,0.13,0.14,0.05,0.07,0.05,0.09,0,0.12,0.17,0.1,0.14,0.08,0.08,0.09,0.1,0.08,0,0,8.09,Walking
0.01,0.08,0.04,0.04,0.11,0.16,0.14,0.1,0.17,0,0.1,0.14,0.12,0.15,0.16,0.07,0.08,0.06,0.09,0,0.15,0.11,0.14,0.11,0.11,0.08,0.07,0.11,0.05,0,0,8.49,Walking
0.14,0.1,0.15,0.11,0.12,0.08,0.11,0.07,0.07,0,0.12,0.07,0.13,0.11,0.07,0.11,0.08,0.13,0.08,0,0.13,0.09,0.04,0.05,0.11,0.1,0.11,0.16,0.13,0,0,9.72,Walking
0.16,0.11,0.2,0.07,0.09,0.08,0.09,0.08,0.07,0,0.1,0.09,0.08,0.09,0.07,0.09,0.15,0.14,0.12,0,0.14,0.05,0.09,0.13,0.09,0.07,0.09,0.08,0.15,0,0,9.96,Walking
0.15,0.11,0.11,0.18,0.1,0.07,0.08,0.08,0.07,0,0.1,0.09,0.12,0.08,0.05,0.09,0.14,0.1,0.11,0,0.09,0.1,0.07,0.11,0.1,0.09,0.14,0.11,0.07,0,0,10.02,Walking
0.16,0.08,0.12,0.11,0.13,0.09,0.08,0.11,0.09,0,0.11,0.08,0.09,0.08,0.09,0.11,0.09,0.17,0.08,0,0.1,0.08,0.1,0.09,0.08,0.13,0.1,0.08,0.16,0,0,9.8,Walking
0.12,0.13,0.12,0.15,0.13,0.09,0.05,0.07,0.1,0,0.09,0.12,0.05,0.07,0.09,0.12,0.1,0.14,0.09,0,0.07,0.13,0.08,0.13,0.09,0.05,0.15,0.13,0.08,0,0,10.12,Walking
0.13,0.13,0.09,0.14,0.12,0.11,0.07,0.06,0.1,0,0.09,0.12,0.08,0.1,0.08,0.11,0.11,0.09,0.11,0,0.1,0.08,0.05,0.14,0.13,0.09,0.11,0.14,0.08,0,0,9.92,Walking
0.15,0.1,0.14,0.1,0.07,0.12,0.09,0.1,0.08,0,0.08,0.09,0.1,0.11,0.08,0.08,0.17,0.08,0.14,0,0.1,0.07,0.12,0.08,0.09,0.11,0.11,0.09,0.15,0,0,9.95,Walking
0.11,0.13,0.14,0.11,0.08,0.08,0.06,0.14,0.09,0,0.1,0.06,0.09,0.09,0.12,0.1,0.1,0.11,0.13,0,0.06,0.12,0.07,0.11,0.1,0.12,0.14,0.11,0.11,0,0,9.92,Walking
0.14,0.11,0.13,0.13,0.07,0.1,0.09,0.1,0.07,0,0.08,0.09,0.1,0.08,0.08,0.13,0.1,0.11,0.14,0,0.09,0.08,0.1,0.11,0.07,0.13,0.12,0.09,0.13,0,0,10.06,Walking
0.12,0.11,0.12,0.09,0.13,0.07,0.08,0.09,0.12,0,0.11,0.06,0.08,0.13,0.11,0.11,0.08,0.14,0.11,0,0.06,0.07,0.1,0.07,0.14,0.12,0.11,0.12,0.1,0,0,9.71,Walking
0.14,0.1,0.14,0.1,0.11,0.09,0.08,0.13,0.07,0,0.07,0.09,0.09,0.08,0.12,0.14,0.1,0.14,0.11,0,0.05,0.11,0.07,0.12,0.1,0.15,0.07,0.11,0.14,0,0,9.92,Walking
0.12,0.13,0.1,0.13,0.11,0.11,0.04,0.11,0.1,0,0.09,0.07,0.09,0.1,0.07,0.13,0.12,0.12,0.12,0,0.06,0.09,0.09,0.12,0.13,0.12,0.09,0.1,0.11,0,0,10.06,Walking
0.12,0.09,0.13,0.14,0.09,0.12,0.06,0.1,0.07,0,0.1,0.08,0.11,0.09,0.07,0.13,0.1,0.06,0.19,0,0.09,0.09,0.1,0.11,0.08,0.07,0.13,0.12,0.1,0,0,9.92,Walking
