@relation activity_recognition_labeled-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.Remove-R1-2-weka.filters.unsupervised.attribute.Remove-R43-weka.filters.unsupervised.attribute.Remove-R41-42

@attribute X0 numeric
@attribute X1 numeric
@attribute X2 numeric
@attribute X3 numeric
@attribute X4 numeric
@attribute X5 numeric
@attribute X6 numeric
@attribute X7 numeric
@attribute X8 numeric
@attribute X9 numeric
@attribute Y0 numeric
@attribute Y1 numeric
@attribute Y2 numeric
@attribute Y3 numeric
@attribute Y4 numeric
@attribute Y5 numeric
@attribute Y6 numeric
@attribute Y7 numeric
@attribute Y8 numeric
@attribute Y9 numeric
@attribute Z0 numeric
@attribute Z1 numeric
@attribute Z2 numeric
@attribute Z3 numeric
@attribute Z4 numeric
@attribute Z5 numeric
@attribute Z6 numeric
@attribute Z7 numeric
@attribute Z8 numeric
@attribute Z9 numeric
@attribute XAVG numeric
@attribute YAVG numeric
@attribute ZAVG numeric
@attribute XPEAK numeric
@attribute YPEAK numeric
@attribute ZPEAK numeric
@attribute XABSOLDEV numeric
@attribute YABSOLDEV numeric
@attribute ZABSOLDEV numeric
@attribute XSTANDDEV numeric
@attribute class {Walking,Jogging,Upstairs,Downstairs,Sitting,Standing}

@data
0.03,0.08,0.07,0.07,0.09,0.13,0.14,0.16,0.1,0.12,0.12,0.11,0.11,0.14,0.08,0.11,0.09,0.09,0.08,0.08,0.11,0.08,0.1,0.08,0.07,0.08,0.09,0.11,0.07,0.19,0,7.93,2.69,175,875,175,1.64,2.77,2.39,2.6,Downstairs
0.1,0.1,0.14,0.11,0.1,0.09,0.09,0.09,0.08,0.12,0.09,0.11,0.1,0.07,0.13,0.09,0.07,0.12,0.12,0.1,0.07,0.14,0.12,0.11,0.13,0.09,0.11,0.07,0.12,0.05,0,8.99,2.04,1200,1520,1460,1.62,3.03,1.49,1.98,Downstairs
0.17,0.11,0.08,0.12,0.11,0.11,0.06,0.07,0.12,0.06,0.08,0.08,0.08,0.11,0.09,0.1,0.13,0.09,0.11,0.13,0.11,0.09,0.08,0.12,0.09,0.14,0.1,0.12,0.11,0.07,0,9.16,2.2,2016.67,3875,2700,1.79,2.98,1.58,2.24,Downstairs
0,0.01,0.01,0.01,0.01,0,0,0,0.01,0.01,0,0,0.01,0.01,0.01,0,0.01,0.01,0,0,0,0.01,0.01,0.01,0,0.01,0.01,0,0.01,0,0,0.38,0.08,1840.901477,1069.140032,2032.625601,0.07,0.36,0.07,1.97,Downstairs
0.03,0.11,0.07,0.12,0.08,0.09,0.11,0.12,0.13,0.15,0.08,0.1,0.1,0.1,0.11,0.12,0.09,0.1,0.11,0.11,0.09,0.1,0.13,0.11,0.11,0.11,0.1,0.11,0.06,0.11,0,8.83,2.38,1550,3325,3900,1.59,2.71,1.5,2.05,Upstairs
0.15,0.11,0.08,0.1,0.12,0.13,0.08,0.1,0.07,0.08,0.1,0.1,0.1,0.12,0.08,0.09,0.12,0.11,0.11,0.09,0.13,0.09,0.11,0.11,0.06,0.1,0.09,0.08,0.13,0.11,0,8.57,2.39,3675,1850,3525,2.14,2.93,1.71,2.78,Upstairs
0.09,0.06,0.11,0.06,0.07,0.06,0.06,0.06,0.06,0.05,0.08,0.07,0.07,0.06,0.07,0.07,0.08,0.06,0.04,0.09,0.06,0.06,0.06,0.06,0.09,0.05,0.09,0.08,0.08,0.06,0,5.7,1.54,1350,1066.67,1833.33,1.44,2.63,0.93,2.75,Upstairs
0.05,0.08,0.08,0.09,0.09,0.1,0.09,0.14,0.14,0.14,0.11,0.07,0.11,0.11,0.09,0.13,0.11,0.1,0.09,0.11,0.08,0.1,0.11,0.09,0.1,0.09,0.14,0.1,0.12,0.09,0,9.18,2.32,562.5,1566.67,1562.5,1.45,3.03,1.61,1.82,Downstairs
0.12,0.11,0.09,0.11,0.12,0.11,0.1,0.1,0.05,0.12,0.09,0.12,0.09,0.11,0.11,0.08,0.1,0.09,0.11,0.12,0.1,0.1,0.09,0.11,0.1,0.09,0.11,0.1,0.08,0.13,0,9.17,2.3,2000,1300,4075,1.69,3.14,1.81,2.11,Downstairs
0.1,0.07,0.11,0.06,0.04,0.08,0.05,0.05,0.04,0.04,0.07,0.08,0.07,0.06,0.07,0.06,0.05,0.08,0.06,0.05,0.08,0.07,0.05,0.06,0.09,0.06,0.04,0.06,0.07,0.05,0,5.33,1.25,1925,1633.33,2175,1.14,2.39,1.05,2.33,Downstairs
0.01,0.06,0.09,0.08,0.07,0.1,0.11,0.18,0.14,0.16,0.08,0.1,0.1,0.11,0.08,0.08,0.1,0.13,0.12,0.11,0.08,0.11,0.12,0.14,0.09,0.13,0.11,0.08,0.07,0.1,0,9.02,2.23,2500,1031.25,1640,1.21,2.77,1.39,1.55,Upstairs
0.09,0.08,0.06,0.1,0.13,0.11,0.13,0.1,0.12,0.11,0.11,0.1,0.09,0.09,0.12,0.11,0.08,0.11,0.08,0.12,0.11,0.11,0.09,0.08,0.13,0.09,0.1,0.09,0.12,0.1,0,8.88,2.41,1216.67,1233.33,3450,1.5,2.96,1.68,2.03,Upstairs
0.18,0.14,0.12,0.1,0.07,0.07,0.03,0.01,0.02,0.01,0.08,0.08,0.08,0.09,0.07,0.08,0.09,0.05,0.07,0.05,0.08,0.05,0.04,0.07,0.06,0.07,0.1,0.1,0.1,0.08,0,6.15,1.97,733.33,1850,1916.67,2,2.51,1.25,3.42,Upstairs
0.02,0.07,0.08,0.09,0.09,0.11,0.1,0.14,0.15,0.15,0.1,0.12,0.1,0.1,0.1,0.07,0.12,0.1,0.12,0.09,0.06,0.09,0.14,0.11,0.11,0.09,0.12,0.1,0.1,0.1,0,9,2.58,1300,850,2075,1.66,3.27,1.76,2.13,Downstairs
0.15,0.12,0.1,0.07,0.13,0.09,0.1,0.1,0.07,0.09,0.1,0.11,0.08,0.11,0.11,0.13,0.07,0.08,0.11,0.11,0.12,0.09,0.08,0.09,0.12,0.1,0.1,0.1,0.1,0.12,0,9.15,2.58,3066.67,691.67,1660,1.86,3.28,2.03,2.41,Downstairs
0.1,0.1,0.09,0.1,0.06,0.09,0.07,0.04,0.06,0.04,0.07,0.05,0.1,0.07,0.06,0.08,0.09,0.09,0.05,0.08,0.1,0.1,0.05,0.05,0.08,0.08,0.07,0.07,0.08,0.06,0,6.74,1.74,1725,1108.33,1500,1.3,2.58,1.51,2.21,Downstairs
0.05,0.08,0.06,0.05,0.11,0.11,0.14,0.12,0.17,0.11,0.09,0.09,0.11,0.09,0.14,0.12,0.07,0.1,0.07,0.15,0.12,0.09,0.13,0.09,0.09,0.1,0.1,0.12,0.08,0.12,0,9.08,2.42,2925,543.75,1475,1.66,3.09,1.7,2.19,Upstairs
0.11,0.07,0.09,0.11,0.1,0.09,0.1,0.1,0.09,0.15,0.12,0.09,0.13,0.11,0.06,0.09,0.1,0.11,0.14,0.08,0.11,0.12,0.08,0.11,0.11,0.07,0.11,0.08,0.1,0.11,0,8.65,2.59,1675,3650,1100,1.79,3.23,1.94,2.32,Upstairs
0.11,0.12,0.12,0.09,0.07,0.04,0.05,0.04,0.02,0.01,0.05,0.08,0.04,0.07,0.06,0.07,0.1,0.06,0.06,0.04,0.03,0.04,0.08,0.06,0.07,0.07,0.08,0.07,0.11,0.04,0,5.7,1.69,800,600,1450,1.22,2.56,1,2.58,Upstairs
0.06,0.09,0.07,0.12,0.08,0.11,0.12,0.11,0.11,0.12,0.11,0.09,0.08,0.1,0.14,0.09,0.11,0.09,0.12,0.09,0.08,0.08,0.09,0.11,0.09,0.1,0.11,0.13,0.12,0.09,0,8.93,2.42,1675,1533.33,1387.5,1.67,3.2,1.88,2.27,Downstairs
0.09,0.13,0.13,0.08,0.12,0.1,0.1,0.09,0.11,0.09,0.09,0.14,0.1,0.1,0.07,0.11,0.11,0.09,0.09,0.11,0.12,0.12,0.08,0.1,0.13,0.1,0.09,0.09,0.08,0.1,0,8.67,2.03,2266.67,942.86,1283.33,1.52,3.31,2.03,1.94,Downstairs
0.09,0.05,0.05,0.06,0.05,0.07,0.04,0.06,0.04,0.05,0.06,0.03,0.07,0.07,0.04,0.06,0.04,0.08,0.05,0.06,0.04,0.07,0.07,0.06,0.03,0.05,0.06,0.04,0.05,0.07,0,5,1.33,425,808.33,600,0.91,2.6,1.18,2.23,Downstairs
0.08,0.1,0.11,0.1,0.16,0.1,0.1,0.12,0.07,0.08,0.11,0.1,0.11,0.1,0.14,0.07,0.09,0.11,0.1,0.05,0.13,0.08,0.07,0.11,0.12,0.11,0.1,0.07,0.11,0.11,0,8.94,1.69,1575,315.52,3075,4.57,6.5,3.94,5.65,Jogging
0.12,0.09,0.11,0.08,0.08,0.09,0.11,0.1,0.11,0.11,0.09,0.09,0.1,0.07,0.12,0.11,0.1,0.09,0.13,0.06,0.07,0.12,0.14,0.1,0.08,0.09,0.12,0.12,0.1,0.07,0,10.02,1.52,1633.33,275.71,2700,5.7,6.37,3.73,6.82,Jogging
0.07,0.1,0.06,0.1,0.05,0.09,0.07,0.06,0.1,0.09,0.08,0.09,0.07,0.11,0.03,0.1,0.09,0.08,0.05,0.06,0.09,0.08,0.07,0.07,0.08,0.08,0.07,0.09,0.08,0.1,0,6.97,1.42,1775,291.3,1875,4.23,5.49,3.18,6.55,Jogging
0.08,0.08,0.09,0.09,0.1,0.13,0.08,0.15,0.12,0.08,0.09,0.14,0.09,0.08,0.12,0.09,0.09,0.09,0.1,0.12,0.1,0.06,0.13,0.1,0.13,0.09,0.09,0.11,0.11,0.08,0,9.59,0.21,2533.33,861.11,1600,2.55,4.17,2.27,3.04,Walking
0.11,0.09,0.13,0.1,0.1,0.07,0.09,0.1,0.11,0.11,0.12,0.06,0.07,0.13,0.11,0.1,0.12,0.13,0.09,0.08,0.09,0.13,0.1,0.13,0.09,0.12,0.08,0.08,0.09,0.12,0,9.64,0.21,3300,1131.25,1650,2.64,3.86,2.41,3.12,Walking
0.1,0.11,0.08,0.1,0.1,0.1,0.1,0.05,0.06,0.11,0.08,0.09,0.13,0.08,0.07,0.09,0.09,0.08,0.1,0.1,0.08,0.13,0.05,0.06,0.07,0.08,0.12,0.1,0.1,0.09,0,8.49,0.53,1337.5,655.56,1320,2.29,3.78,2.28,3.09,Walking
0.06,0.08,0.12,0.15,0.2,0.1,0.08,0.11,0.06,0.06,0.08,0.09,0.14,0.1,0.1,0.13,0.09,0.09,0.1,0.03,0.13,0.06,0.09,0.1,0.08,0.11,0.14,0.12,0.08,0.11,0,9.7,0.69,1800,236.49,1600,4.6,6.35,3.72,5.88,Jogging
0.12,0.06,0.12,0.11,0.06,0.11,0.1,0.16,0.1,0.08,0.07,0.13,0.1,0.1,0.1,0.1,0.08,0.08,0.12,0.04,0.1,0.09,0.09,0.11,0.09,0.13,0.14,0.11,0.06,0.1,0,10.48,0.76,2975,221.43,1700,6.06,6.6,3.33,7.15,Jogging
0.13,0.1,0.08,0.08,0.09,0.11,0.07,0.12,0.16,0.07,0.1,0.12,0.09,0.13,0.07,0.08,0.1,0.08,0.13,0.03,0.1,0.11,0.1,0.1,0.12,0.13,0.09,0.1,0.08,0.1,0,10.04,0.72,1750,242.5,1683.33,6.24,6.73,3.36,7.32,Jogging
0.16,0.12,0.06,0.05,0.07,0.13,0.11,0.1,0.11,0.1,0.1,0.12,0.12,0.08,0.09,0.08,0.13,0.14,0.08,0.02,0.15,0.1,0.14,0.06,0.09,0.1,0.09,0.07,0.11,0.12,0,9.41,0.22,1350,287.88,4000,6.65,7.05,4.12,7.66,Jogging
0.09,0.12,0.11,0.12,0.08,0.1,0.09,0.1,0.08,0.13,0.09,0.11,0.11,0.1,0.08,0.12,0.09,0.11,0.12,0.02,0.11,0.11,0.08,0.07,0.11,0.09,0.09,0.16,0.1,0.11,0,10.18,0.96,2950,278.57,2075,6.03,6.45,3.43,7.3,Jogging
0.09,0.1,0.12,0.11,0.1,0.1,0.1,0.12,0.09,0.1,0.13,0.1,0.1,0.12,0.11,0.09,0.07,0.09,0.11,0.03,0.06,0.14,0.08,0.11,0.1,0.12,0.06,0.13,0.12,0.1,0,9.47,0.91,1616.67,310.34,4250,6.05,6.71,3.18,7.32,Jogging
0.09,0.12,0.1,0.09,0.09,0.07,0.12,0.07,0.12,0.15,0.09,0.1,0.09,0.08,0.09,0.11,0.12,0.15,0.09,0.01,0.11,0.09,0.12,0.12,0.09,0.08,0.07,0.11,0.15,0.08,0,10.45,0.68,2262.5,276.47,4225,6.54,6.46,3.44,7.87,Jogging
0.1,0.12,0.11,0.09,0.06,0.1,0.13,0.11,0.11,0.11,0.15,0.1,0.11,0.08,0.08,0.13,0.12,0.08,0.07,0.01,0.07,0.1,0.13,0.08,0.12,0.09,0.11,0.09,0.11,0.12,0,9.04,0.95,900,346.43,4425,6.44,6.81,3.29,7.59,Jogging
0.08,0.09,0.08,0.11,0.19,0.08,0.12,0.06,0.08,0.11,0.11,0.05,0.05,0.11,0.17,0.11,0.11,0.1,0.1,0.02,0.08,0.11,0.11,0.16,0.13,0.06,0.1,0.06,0.11,0.07,0,9.81,0.44,875,326.09,1187.5,5.29,5.65,3.09,6.91,Jogging
0.15,0.24,0.1,0.08,0.11,0.09,0.08,0.03,0.08,0.06,0.1,0.07,0.07,0.09,0.07,0.26,0.08,0.09,0.1,0.1,0.07,0.11,0.06,0.08,0.11,0.15,0.17,0.07,0.12,0.08,0,9.92,-0.06,1100,1000,1500,2.04,2.4,1.6,2.8,Walking
0.08,0.05,0.1,0.1,0.13,0.14,0.1,0.11,0.1,0.11,0.12,0.07,0.11,0.13,0.07,0.07,0.13,0.12,0.13,0.07,0.08,0.07,0.09,0.12,0.1,0.13,0.09,0.14,0.1,0.1,0,9.71,-0.06,2183.33,2012.5,2516.67,2.98,2.82,1.74,3.51,Walking
0.1,0.09,0.11,0.08,0.1,0.14,0.08,0.11,0.13,0.09,0.12,0.11,0.12,0.07,0.12,0.07,0.07,0.12,0.12,0.11,0.12,0.09,0.11,0.1,0.11,0.1,0.1,0.1,0.08,0.11,0,9.69,-0.28,2325,1462.5,725,2.96,2.94,1.82,3.58,Walking
0.12,0.11,0.08,0.08,0.11,0.1,0.15,0.09,0.07,0.12,0.12,0.12,0.1,0.11,0.07,0.11,0.1,0.09,0.1,0.1,0.11,0.13,0.08,0.06,0.11,0.1,0.12,0.11,0.1,0.1,0,9.63,-0.15,2016.67,1250,857.14,2.84,2.83,1.92,3.53,Walking
0.13,0.12,0.05,0.1,0.09,0.09,0.12,0.11,0.11,0.09,0.12,0.07,0.14,0.11,0.08,0.07,0.12,0.09,0.12,0.11,0.12,0.13,0.09,0.11,0.13,0.07,0.09,0.09,0.1,0.11,0,9.75,-0.29,3200,642.31,1280,2.85,2.83,1.89,3.51,Walking
0.13,0.09,0.1,0.08,0.11,0.08,0.11,0.1,0.1,0.11,0.1,0.1,0.08,0.14,0.08,0.13,0.09,0.12,0.09,0.09,0.1,0.1,0.11,0.12,0.1,0.1,0.07,0.1,0.11,0.11,0,9.67,-0.09,1112.5,1056.25,2116.67,2.85,2.64,1.93,3.52,Walking
0.14,0.08,0.08,0.14,0.1,0.08,0.09,0.08,0.12,0.11,0.1,0.12,0.09,0.1,0.11,0.07,0.11,0.1,0.11,0.11,0.11,0.13,0.07,0.14,0.07,0.08,0.09,0.13,0.09,0.11,0,9.7,-0.22,1616.67,911.11,1525,2.79,2.79,1.86,3.5,Walking
0.12,0.1,0.12,0.09,0.09,0.09,0.1,0.12,0.1,0.1,0.08,0.12,0.12,0.07,0.12,0.11,0.09,0.12,0.08,0.12,0.11,0.1,0.12,0.13,0.12,0.09,0.06,0.11,0.09,0.1,0,9.76,-0.21,2833.33,745,2250,2.82,2.68,1.85,3.52,Walking
0.09,0.09,0.11,0.13,0.08,0.1,0.11,0.1,0.13,0.09,0.08,0.13,0.1,0.11,0.09,0.1,0.12,0.08,0.08,0.13,0.1,0.11,0.09,0.11,0.11,0.1,0.09,0.11,0.11,0.09,0,9.79,-0.21,1156.25,762.5,1000,2.86,2.79,1.8,3.49,Walking
0.11,0.09,0.1,0.12,0.1,0.07,0.1,0.08,0.12,0.12,0.11,0.09,0.08,0.11,0.11,0.09,0.14,0.1,0.09,0.1,0.08,0.11,0.13,0.13,0.09,0.1,0.08,0.11,0.09,0.11,0,9.7,-0.11,805.56,1800,1285.71,2.87,2.71,1.9,3.56,Walking
0.06,0.09,0.12,0.09,0.14,0.12,0.12,0.12,0.05,0.11,0.09,0.1,0.1,0.12,0.11,0.07,0.13,0.1,0.13,0.08,0.1,0.07,0.13,0.08,0.1,0.13,0.08,0.13,0.11,0.1,0,9.74,-0.02,1683.33,1221.43,2250,2.81,2.63,1.87,3.38,Walking
0.05,0.09,0.13,0.09,0.1,0.09,0.13,0.11,0.13,0.1,0.09,0.13,0.11,0.13,0.09,0.11,0.06,0.09,0.13,0.08,0.1,0.12,0.08,0.09,0.07,0.15,0.09,0.12,0.1,0.11,0,9.58,-0.13,2337.5,1900,1500,2.96,2.66,1.79,3.51,Walking
0.06,0.1,0.08,0.12,0.11,0.14,0.09,0.09,0.11,0.12,0.11,0.09,0.09,0.12,0.12,0.06,0.11,0.1,0.08,0.13,0.1,0.09,0.12,0.1,0.09,0.14,0.09,0.09,0.1,0.1,0,9.76,-0.12,1290,1380,2725,2.97,2.77,1.87,3.58,Walking
0.07,0.12,0.1,0.11,0.1,0.07,0.07,0.15,0.11,0.11,0.1,0.11,0.12,0.07,0.12,0.1,0.07,0.13,0.08,0.13,0.12,0.13,0.07,0.14,0.07,0.13,0.07,0.09,0.08,0.12,0,9.76,-0.18,3450,822.22,1090,2.99,2.83,1.92,3.65,Walking
0.06,0.1,0.1,0.08,0.09,0.11,0.1,0.09,0.1,0.08,0.07,0.09,0.1,0.06,0.14,0.1,0.1,0.09,0.08,0.08,0.07,0.07,0.08,0.05,0.08,0.09,0.09,0.15,0.15,0.07,0,8.6,0.13,2266.67,942.86,1333.33,2.51,2.35,1.51,3.44,Walking
0.07,0.17,0.28,0.2,0.08,0.04,0.08,0.05,0.04,0.02,0.05,0.06,0.09,0.1,0.24,0.08,0.09,0.1,0.11,0.04,0.06,0.09,0.18,0.17,0.12,0.07,0.07,0.12,0.08,0.06,0,9.39,-0.17,475,318.42,600,2.98,5.2,2.19,3.9,Jogging
0.11,0.07,0.12,0.11,0.1,0.14,0.11,0.11,0.08,0.07,0.1,0.12,0.11,0.09,0.08,0.08,0.09,0.09,0.13,0.08,0.11,0.12,0.11,0.11,0.09,0.12,0.07,0.08,0.11,0.11,0,8.72,0.04,500,307.81,1250,4.82,7.08,2.77,5.69,Jogging
0.11,0.11,0.11,0.13,0.08,0.05,0.11,0.13,0.07,0.11,0.11,0.12,0.08,0.12,0.03,0.1,0.13,0.08,0.12,0.07,0.09,0.14,0.12,0.11,0.11,0.1,0.08,0.07,0.11,0.1,0,8.76,-0.02,3875,397.92,912.5,4.96,7.17,2.68,5.98,Jogging
0.14,0.09,0.14,0.09,0.06,0.09,0.06,0.12,0.09,0.14,0.1,0.13,0.13,0.09,0.06,0.08,0.09,0.09,0.14,0.04,0.14,0.14,0.11,0.06,0.08,0.08,0.08,0.11,0.13,0.08,0,8.23,-0.35,4600,344.44,2400,5.41,7.28,3.06,6.56,Jogging
0.09,0.05,0.1,0.14,0.08,0.1,0.1,0.13,0.07,0.15,0.1,0.07,0.09,0.13,0.11,0.12,0.1,0.08,0.12,0.04,0.15,0.12,0.06,0.08,0.07,0.09,0.15,0.12,0.08,0.11,0,8.84,-0.18,1583.33,410.87,2683.33,5.5,6.29,3.01,6.52,Jogging
0.06,0.17,0.08,0.1,0.12,0.12,0.07,0.11,0.1,0.1,0.12,0.14,0.06,0.1,0.09,0.13,0.08,0.1,0.1,0.05,0.1,0.1,0.1,0.11,0.09,0.06,0.12,0.12,0.09,0.11,0,8.17,0.3,1430,445.45,1575,4.85,6.96,2.8,5.87,Jogging
0.07,0.14,0.11,0.13,0.08,0.09,0.11,0.09,0.09,0.11,0.14,0.09,0.09,0.07,0.11,0.09,0.09,0.09,0.14,0.06,0.1,0.08,0.11,0.1,0.1,0.09,0.12,0.08,0.12,0.11,0,8.41,0.19,300,423.91,1537.5,4.97,7.27,2.73,5.98,Jogging
0.12,0.13,0.09,0.1,0.07,0.07,0.16,0.11,0.1,0.09,0.12,0.14,0.09,0.12,0.1,0.08,0.11,0.1,0.06,0.05,0.17,0.05,0.1,0.09,0.1,0.11,0.11,0.12,0.1,0.08,0,7.59,-0.19,1125,508.33,1975,4.86,6.7,2.77,5.83,Jogging
0.12,0.09,0.09,0.08,0.11,0.1,0.1,0.1,0.13,0.1,0.1,0.12,0.13,0.1,0.11,0.08,0.07,0.1,0.09,0.05,0.1,0.08,0.08,0.09,0.12,0.1,0.13,0.14,0.11,0.09,0,8.05,0.29,2700,433.33,2100,5.25,6.7,2.51,6.16,Jogging
0.09,0.11,0.07,0.08,0.11,0.11,0.11,0.09,0.12,0.12,0.1,0.1,0.12,0.1,0.06,0.14,0.11,0.1,0.07,0.04,0.09,0.1,0.11,0.11,0.11,0.1,0.09,0.1,0.08,0.15,0,8.56,0.43,4850,406.25,1675,5.42,6.82,2.78,6.41,Jogging
0.1,0.09,0.05,0.12,0.12,0.09,0.09,0.09,0.14,0.13,0.11,0.07,0.11,0.11,0.08,0.11,0.13,0.13,0.11,0.03,0.07,0.1,0.09,0.09,0.1,0.12,0.12,0.12,0.1,0.1,0,8.73,0.53,608.33,502.94,3375,5.55,6.49,2.54,6.48,Jogging
0.11,0.08,0.06,0.05,0.1,0.14,0.13,0.11,0.11,0.14,0.08,0.11,0.09,0.09,0.09,0.12,0.11,0.12,0.12,0.05,0.09,0.09,0.11,0.12,0.07,0.12,0.15,0.1,0.09,0.09,0,8.97,0.15,1491.67,422.73,2750,5.73,6.46,2.4,6.56,Jogging
0.13,0.08,0.04,0.04,0.13,0.13,0.1,0.09,0.15,0.13,0.12,0.1,0.11,0.08,0.1,0.11,0.12,0.1,0.07,0.04,0.07,0.09,0.12,0.1,0.11,0.12,0.08,0.07,0.12,0.14,0,8.31,0.43,1150,447.62,2600,5.73,6.73,2.58,6.56,Jogging
0.11,0.08,0.07,0.04,0.13,0.15,0.11,0.14,0.13,0.07,0.1,0.08,0.13,0.1,0.12,0.11,0.1,0.12,0.08,0.04,0.11,0.1,0.05,0.06,0.15,0.1,0.12,0.09,0.16,0.09,0,8.41,0.28,1142.86,555.88,4175,5.28,6.36,2.7,6,Jogging
0.01,0.04,0.07,0.07,0.07,0.04,0.05,0.04,0.03,0.03,0.03,0.02,0.05,0.07,0.08,0.06,0.06,0.06,0.02,0.01,0.03,0.04,0.06,0.05,0.06,0.04,0.06,0.03,0.02,0.06,0,3.75,0.12,537.5,500,1425,1.84,2.88,1.02,5.11,Jogging
0.01,0.08,0.08,0.05,0.11,0.14,0.15,0.12,0.16,0,0.09,0.14,0.09,0.14,0.14,0.09,0.08,0.08,0.09,0,0.17,0.12,0.08,0.13,0.11,0.13,0.09,0.05,0.08,0,0,8.81,-1.06,1116.67,1166.67,2933.33,5.82,3.16,2.74,7,Walking
